Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-03-09,Drop Dead Gorgeous,1999,https://boxd.it/fgRzZ,3.5,,"online, skype, lorena, gabra",2017-03-08
2017-03-10,The Truman Show,1998,https://boxd.it/fjEJ9,4,,"netflix, theo",2017-03-09
2017-03-10,#Horror,2015,https://boxd.it/fjXRL,3.5,,"online, rabbit, gabra, leo",2017-03-10
2017-03-11,The Rocky Horror Picture Show,1975,https://boxd.it/fkKsb,3.5,Yes,"netflix, theo, rabbit",2017-03-10
2017-03-11,Bachelorette,2012,https://boxd.it/fl08B,4,,"netflix, leo, lorena",2017-03-10
2017-03-11,Repo! The Genetic Opera,2008,https://boxd.it/flKzX,5,Yes,"online, rabbit, mari, lorena, leo",2017-03-10
2017-03-12,Pink Flamingos,1972,https://boxd.it/fntIR,2,,"online, rabbit, giulio",2017-03-11
2017-03-15,Earth to Echo,2014,https://boxd.it/fuy7v,3.5,,"netflix, rabbit, theo",2017-03-14
2017-03-15,The Last Mimzy,2007,https://boxd.it/fuMdn,2.5,,"rabbit, theo, online",2017-03-14
2017-03-16,Female Trouble,1974,https://boxd.it/fxECP,4,,"online, giulio",2017-03-15
2017-03-18,Beauty and the Beast,2017,https://boxd.it/fAKcf,4,,"movie theater, theo",2017-03-17
2017-03-19,Her Story,2016,https://boxd.it/fCkjX,5,,"rabbit, youtube, theo",2017-03-18
2017-03-19,The Iron Lady,2011,https://boxd.it/fCIBr,2,,"online, rabbit, theo, lorena, mari, pedro",2017-03-18
2017-03-21,The Orphanage,2007,https://boxd.it/fHJT7,3,,"online, gabra, vinicius",2017-03-20
2017-03-24,I Give It a Year,2013,https://boxd.it/fN0R3,3,,"tv, theo",2017-03-23
2017-03-25,Split,2016,https://boxd.it/fOXJ5,2.5,,"movie theater, theo",2017-03-24
2017-03-25,Power Rangers,2017,https://boxd.it/fOYLB,4,,"movie theater, theo",2017-03-24
2017-03-27,Twinsters,2015,https://boxd.it/fSmF9,3.5,,"sabri, pedro, netflix",2017-03-26
2017-03-29,Tokyo Godfathers,2003,https://boxd.it/fXlmF,4,,"online, rabbit, theo",2017-03-28
2017-03-30,Shut In,2016,https://boxd.it/fZ5an,2,,"netflix, laiza",2017-03-29
2017-04-01,Ghost in the Shell,1995,https://boxd.it/g1fzL,1.5,,"online, gabra",2017-03-31
2017-04-01,The Purge: Election Year,2016,https://boxd.it/g2a8d,2,,"online, chris, nico",2017-03-31
2017-04-07,The Clique,2008,https://boxd.it/gdZuB,3,,"tv, theo",2017-04-06
2017-04-11,Hell No,2013,https://boxd.it/gl4E1,2.5,,"short film, youtube",2017-04-10
2017-04-11,Perfect Blue,1997,https://boxd.it/gmmdf,3,,"tv, theo, youtube",2017-04-10
2017-04-11,My Neighbor Totoro,1988,https://boxd.it/gmmgX,5,,"theo, tv, online",2017-04-10
2017-04-12,Castle in the Sky,1986,https://boxd.it/gnFbf,4.5,,"online, rabbit, theo",2017-04-11
2017-04-13,Moulin Rouge!,2001,https://boxd.it/goXnF,3.5,,"tv, victor",2017-04-12
2017-04-16,Kiki's Delivery Service,1989,https://boxd.it/guOgx,5,,"online, theo, rabbit",2017-04-15
2017-04-18,Porco Rosso,1992,https://boxd.it/gz6ab,4,,"online, theo",2017-04-17
2017-04-19,Hellions,2015,https://boxd.it/gzsmj,1.5,,"netflix, victor",2017-04-18
2017-04-20,Beauty and the Beast,1991,https://boxd.it/gB1aJ,4,Yes,"theo, dvd",2017-04-18
2017-04-20,Only Yesterday,1991,https://boxd.it/gBOtZ,4.5,,"online, rabbit, theo",2017-04-19
2017-04-22,Corpse Party,2015,https://boxd.it/gEIXF,4.5,,"netflix, victor, skype",2017-04-22
2017-04-24,Like Crazy,2011,https://boxd.it/gI2hF,2,,"netflix, nico",2017-04-23
2017-04-26,Ocean Waves,1993,https://boxd.it/gLfCd,3,,"online, rabbit, theo",2017-04-25
2017-04-27,Heathers,1989,https://boxd.it/gN9I9,5,Yes,"tv, victor",2017-04-26
2017-04-28,The Toyman Killer,2013,https://boxd.it/gOSi3,1.5,,"tv, theo",2017-04-26
2017-04-28,Lilo & Stitch,2002,https://boxd.it/gOZch,4.5,,"tv, theo",2017-04-26
2017-04-28,Pom Poko,1994,https://boxd.it/gOZlt,4,,"online, theo",2017-04-27
2017-04-29,Whisper of the Heart,1995,https://boxd.it/gQrDn,5,,"rabbit, online, theo",2017-04-28
2017-04-30,Princess Mononoke,1997,https://boxd.it/gSetN,4,,"online, theo",2017-04-29
2017-05-01,My Neighbors the Yamadas,1999,https://boxd.it/gTouX,3.5,,"online, rabbit, theo",2017-04-30
2017-05-03,The Cat Returns,2002,https://boxd.it/gWBHB,4.5,,"online, rabbit, theo",2017-05-02
2017-05-05,Spirited Away,2001,https://boxd.it/gZxy7,5,,"theo, online",2017-05-04
2017-05-06,The Witch,2015,https://boxd.it/h0yZ1,5,,online,2017-05-05
2017-05-07,Howl's Moving Castle,2004,https://boxd.it/h2hHt,4.5,,"theo, online, rabbit",2017-05-05
2017-05-08,The Blackcoat's Daughter,2015,https://boxd.it/h4t5Z,5,,"netflix, gabra",2017-05-07
2017-05-09,Touchy Feely,2013,https://boxd.it/h5XaR,3.5,,"netflix, theo, skype",2017-05-08
2017-05-10,I Am the Pretty Thing That Lives in the House,2016,https://boxd.it/h7imL,2,,"netflix, gabra, vinicius",2017-05-08
2017-05-11,Free Samples,2012,https://boxd.it/h9b9f,2,,"netflix, nico",2017-05-10
2017-05-16,Elle Fanning's Fan Fantasy,2017,https://boxd.it/hf5aj,4,,"short film, youtube",2017-05-11
2017-05-13,What Is Cinema?,2013,https://boxd.it/hbv1p,2.5,,"cinema internacional, facom",2017-05-12
2017-05-14,History of Japan,2016,,4,,youtube,2017-05-13
2017-05-14,"History of the Entire World, I Guess",2017,,5,,youtube,2017-05-13
2017-05-18,Revolution of 30,1980,https://boxd.it/hhIgz,1.5,,"facom, comunicaçao e atualidade I",2017-05-17
2017-05-18,Ponyo,2008,https://boxd.it/hi4Sv,4.5,,"netflix, skype, theo",2017-05-17
2017-05-20,Pandora's Box,1929,https://boxd.it/hkS9T,3.5,,"facom, cinema internacional",2017-05-19
2017-05-20,Lilo & Stitch 2: Stitch Has a Glitch,2005,https://boxd.it/hkSkn,3,,"tv, theo",2017-05-19
2017-05-22,The Texas Chain Saw Massacre,1974,https://boxd.it/hnC4J,5,,"arthur, online",2017-05-21
2017-05-23,The Texas Chainsaw Massacre 2,1986,https://boxd.it/hoL7J,1.5,,"online, arthur",2017-05-22
2017-05-25,Frances Ha,2012,https://boxd.it/hqY85,4,,"rabbit, filipe",2017-05-24
2017-05-26,Raw,2016,https://boxd.it/hrVuf,4.5,,"online, gabra, leo",2017-05-25
2017-05-26,Ares,2016,https://boxd.it/hsuyr,1,,"netflix, gabra",2017-05-25
2017-05-27,Sunset Boulevard,1950,https://boxd.it/htbAl,4.5,,"cinema internacional, facom",2017-05-26
2017-05-27,Before I Go to Sleep,2014,https://boxd.it/htnP3,4,,"netflix, skype, victor, gabra",2017-05-26
2017-05-28,7 Witches,2017,https://boxd.it/htNYF,0.5,,"online, gabra",2017-05-27
2017-05-28,Leatherface: The Texas Chainsaw Massacre III,1990,https://boxd.it/hurtH,2.5,,"online, arthur",2017-05-27
2017-05-30,Lovesong,2016,https://boxd.it/hxmT7,4.5,,"netflix, alice, lorena, gabra, leo",2017-05-29
2017-05-31,Jeepers Creepers,2001,https://boxd.it/hydGv,2.5,,"online, gabra",2017-05-30
2017-06-01,Get Out,2017,https://boxd.it/hzwSx,5,,"alcantara, laiza, jade, movie theater",2017-05-31
2017-06-02,Kedi,2016,https://boxd.it/hANtL,4,,"theo, online",2017-06-01
2017-06-03,Barely Lethal,2015,https://boxd.it/hBoxb,2.5,,"rabbit, lorena",2017-06-02
2017-06-04,Behaving Badly,2014,https://boxd.it/hCI1L,0.5,,"netflix, marcos",2017-06-03
2017-06-04,Gone Girl,2014,https://boxd.it/hDLVp,5,,"online, chris, marcos",2017-06-04
