Date,Name,Year,Letterboxd URI,Rating
2017-02-28,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,3.5
2017-02-28,La La Land,2016,https://boxd.it/a5fa,2
2017-03-01,D.E.B.S.,2004,https://boxd.it/2aaS,5
2017-03-01,Suspiria,1977,https://boxd.it/1SNW,4.5
2017-03-02,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,2
2017-03-02,Mistress America,2015,https://boxd.it/9UfS,4
2017-03-03,Confessions of a Shopaholic,2009,https://boxd.it/1E9e,3.5
2017-03-03,Who Killed Eloá?,2015,https://boxd.it/fmsU,4
2017-03-03,Sleepover,2004,https://boxd.it/1XAS,5
2017-03-06,Truth or Dare,2012,https://boxd.it/3snW,3
2017-03-06,Smiley Face,2007,https://boxd.it/1QG0,4
2017-03-07,Red Balloon,2010,https://boxd.it/6GH8,1
2017-03-09,Drop Dead Gorgeous,1999,https://boxd.it/1W8e,3.5
2017-03-10,The Truman Show,1998,https://boxd.it/18U8,4
2017-03-10,#Horror,2015,https://boxd.it/9AhO,3.5
2017-03-11,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,3.5
2017-03-11,Bachelorette,2012,https://boxd.it/2XEs,4
2017-03-11,Repo! The Genetic Opera,2008,https://boxd.it/1Ogu,5
2017-03-12,Pink Flamingos,1972,https://boxd.it/29NO,2
2017-03-15,Earth to Echo,2014,https://boxd.it/71uO,3.5
2017-03-15,The Last Mimzy,2007,https://boxd.it/2730,2.5
2017-03-16,Female Trouble,1974,https://boxd.it/1Oqk,4
2017-03-18,Beauty and the Beast,2017,https://boxd.it/ar0c,4
2017-03-19,Her Story,2016,https://boxd.it/dprQ,5
2017-03-19,The Iron Lady,2011,https://boxd.it/2qli,2
2017-03-21,The Orphanage,2007,https://boxd.it/2bfE,3
2017-03-24,I Give It a Year,2013,https://boxd.it/4KaS,3
2017-03-25,Split,2016,https://boxd.it/dgSy,2.5
2017-03-25,Power Rangers,2017,https://boxd.it/9KKc,4
2017-03-27,Twinsters,2015,https://boxd.it/axpi,3.5
2017-03-29,Tokyo Godfathers,2003,https://boxd.it/1Qg2,4
2017-03-30,Shut In,2016,https://boxd.it/aNX6,2
2017-04-01,Ghost in the Shell,1995,https://boxd.it/1YYc,1.5
2017-04-01,The Purge: Election Year,2016,https://boxd.it/ae5I,2
2017-04-07,The Clique,2008,https://boxd.it/1dOE,3
2017-04-11,Hell No,2013,https://boxd.it/7rhc,2.5
2017-04-11,Perfect Blue,1997,https://boxd.it/1W7A,3
2017-04-11,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2017-04-12,Castle in the Sky,1986,https://boxd.it/1W4G,4.5
2017-04-16,Kiki's Delivery Service,1989,https://boxd.it/1JAY,5
2017-04-18,Porco Rosso,1992,https://boxd.it/1Tp2,4
2017-04-19,Hellions,2015,https://boxd.it/76Yk,1.5
2017-04-20,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2017-04-20,Only Yesterday,1991,https://boxd.it/1MR4,4.5
2017-04-22,Corpse Party,2015,https://boxd.it/d2Rc,4.5
2017-04-24,Like Crazy,2011,https://boxd.it/g4s,2
